web-scraper-order,web-scraper-start-url,laptop_link,laptop_link-href,etat,marque,couleur,processeur ,RAM,stockage,prix
"1737994165-273","https://www.expat-dakar.com/ordinateurs?page=70","MEGA PROMO LENOVO THINKPAD L14 GEN 2
                                NeufLenovo
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        30. déc. '24, 16:19
                                    
                    190 000 F Cfa
                        
                        784043388","https://www.expat-dakar.com/annonce/mega-promo-lenovo-thinkpad-l14-gen-2-6244692","Neuf","Lenovo","","","16go","","190 000 F Cfa"
"1737994167-274","https://www.expat-dakar.com/ordinateurs?page=70","Portable Toshiba i5
                                VenantToshiba
                                                                                    Pikine,
                                                                                Dakar
                                    
                                        30. déc. '24, 21:09
                                    
                    110 000 F Cfa
                        
                        768437077","https://www.expat-dakar.com/annonce/portable-toshiba-i5-6244794","Venant","Toshiba","Grise","I5","8 go","SSD 128 go","110 000 F Cfa"
"1737994170-275","https://www.expat-dakar.com/ordinateurs?page=70","MacBook pro touch bar2020 Ram 32Go core i7 ssd 2tera
                                VenantApple
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        30. déc. '24, 23:25
                                    
                    700 000 F Cfa
                        
                        785329088","https://www.expat-dakar.com/annonce/macbook-pro-touch-bar2020-ram-32go-core-i7-ssd-2tera-6244845","Venant","Apple","Gris","Cor i7","32Go","2Tera","700 000 F Cfa"
"1737994172-276","https://www.expat-dakar.com/ordinateurs?page=70","Promo décembre MacBook pro et air
                                VenantApple
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        30. déc. '24, 23:29
                                    
                    250 000 F Cfa
                        
                        785329088","https://www.expat-dakar.com/annonce/promo-decembre-macbook-pro-et-air-6244846","Venant","Apple","Gris","I5","8Go","256 / 128","250 000 F Cfa"
"1737994174-277","https://www.expat-dakar.com/ordinateurs?page=70","Promo décembreMacBook pro Retina et air 2015
                                VenantApple
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        30. déc. '24, 23:33
                                    
                    200 000 F Cfa
                        
                        785329088","https://www.expat-dakar.com/annonce/promo-decembremacbook-pro-retina-et-air-2015-6244847","Venant","Apple","Gris","I5","8Go","128Go","200 000 F Cfa"
"1737994177-278","https://www.expat-dakar.com/ordinateurs?page=70","Promo décembreHuawei Honor 10th génération
                                VenantAutre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        30. déc. '24, 23:38
                                    
                    300 000 F Cfa
                        
                        785329088","https://www.expat-dakar.com/annonce/promo-decembrehuawei-honor-10th-generation-6244848","Venant","Autre","Gris","I5","8Go","256Go","300 000 F Cfa"
"1737994182-279","https://www.expat-dakar.com/ordinateurs?page=69","Promo  Lenovo L14 12th génération core i7 Ram 32Go ssd 512Go
                                VenantLenovo
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        31. déc. '24, 00:15
                                    
                    400 000 F Cfa
                        
                        785329088","https://www.expat-dakar.com/annonce/promo-lenovo-l14-12th-generation-core-i7-ram-32go-ssd-512go-6244854","Venant","Lenovo","","","32Go","512Go","400 000 F Cfa"
"1737994184-280","https://www.expat-dakar.com/ordinateurs?page=69","Lenovo p50s core i7 Ram 16Go ssd 256Go
                                VenantLenovo
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        31. déc. '24, 00:21
                                    
                    330 000 F Cfa
                        
                        785329088","https://www.expat-dakar.com/annonce/lenovo-p50s-core-i7-ram-16go-ssd-256go-6244857","Venant","Lenovo","Gris","Core i7","16Go","256Go","330 000 F Cfa"
"1737994186-281","https://www.expat-dakar.com/ordinateurs?page=69","Écran pc HP 24 pouces full HD hdmi
                                VenantHP
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        31. déc. '24, 11:11
                                    
                    85 000 F Cfa
                        
                        776661568","https://www.expat-dakar.com/annonce/ecran-pc-hp-24-pouces-full-hd-hdmi-6245147","Venant","HP","","","","","85 000 F Cfa"
"1737994189-282","https://www.expat-dakar.com/ordinateurs?page=69","Dell core i5 disc ssd 128g ram 8g
                                VenantDell
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        31. déc. '24, 11:16
                                    
                    55 000 F Cfa
                        
                        776661568","https://www.expat-dakar.com/annonce/dell-core-i5-disc-ssd-128g-ram-8g-6245149","Venant","Dell","","","","","55 000 F Cfa"
"1737994191-283","https://www.expat-dakar.com/ordinateurs?page=69","Hp prodesk i7 22pouces
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        31. déc. '24, 11:50
                                    
                    169 999 F Cfa
                        
                        772930982
                    
                        772930982
                    
                        772775030","https://www.expat-dakar.com/annonce/hp-prodesk-i7-22pouces-6170739","Venant","HP","","","8","500 Go","169 999 F Cfa"
"1737994194-284","https://www.expat-dakar.com/ordinateurs?page=69","Hp Probook 640 G5 8e Generation
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        31. déc. '24, 11:51
                                    
                    230 000 F Cfa
                        
                        772930982
                    
                        772930982
                    
                        772775030","https://www.expat-dakar.com/annonce/hp-probook-640-g5-8e-generation-6170748","Venant","HP","","","16Go","512","230 000 F Cfa"
"1737994196-285","https://www.expat-dakar.com/ordinateurs?page=69","Microsoft surface pro Elite x
                                NeufMicrosoft Surface
                                                                                    Médina,
                                                                                Dakar
                                    
                                        31. déc. '24, 12:12
                                    
                    875 000 F Cfa
                        
                        774038651","https://www.expat-dakar.com/annonce/microsoft-surface-pro-elite-x-6245173","Neuf","Microsoft Surface","Noire","Snapdragon Pro Élite x","16go","512","875 000 F Cfa"
"1737994198-286","https://www.expat-dakar.com/ordinateurs?page=69","Vente MacBook Pro M3 Max
                                VenantApple
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        31. déc. '24, 12:16
                                    
                    2 300 000 F Cfa
                        
                        775155657
                    
                        776264848
                    
                        338425247","https://www.expat-dakar.com/annonce/vente-macbook-pro-m3-max-6245182","Venant","Apple","Gris","M3 Max","32 Go","1TB","2 300 000 F Cfa"
